student_id,semester,fee_amount,fee_submission_date
82,5,19721,2022-04-26
79,8,11841,2023-09-16
48,3,10365,2023-09-06
61,5,10680,2022-12-29
96,8,7019,2022-07-12
40,6,18801,2023-09-21
99,2,9161,2023-07-04
52,1,9405,2023-11-18
29,7,10642,2023-05-26
98,2,18501,2023-03-19
12,3,11135,2023-10-28
91,7,6637,2022-01-16
17,1,12845,2023-03-13
100,3,10487,2022-11-12
66,6,7583,2023-07-22
57,1,13167,2023-09-29
88,2,13445,2023-07-08
11,8,16564,2022-08-17
47,4,5561,2022-09-19
43,8,11527,2022-03-26
75,8,9790,2022-02-18
17,8,14279,2023-10-31
44,2,12042,2022-01-07
62,2,18201,2022-12-20
23,8,17834,2022-05-30
66,8,18239,2023-07-30
38,3,16020,2023-07-29
28,8,9831,2022-05-02
87,3,15309,2023-03-14
48,3,6257,2023-09-07
47,6,16208,2022-04-19
66,3,12381,2022-09-09
52,3,10762,2022-10-24
91,4,6768,2023-05-01
43,7,7051,2023-04-07
43,7,11025,2023-12-18
62,1,17987,2022-11-18
67,8,11656,2022-09-18
46,1,9331,2022-04-17
75,1,11767,2022-09-09
37,7,6669,2022-09-19
66,8,5770,2023-08-11
57,6,5004,2023-06-30
65,1,18618,2022-06-23
35,6,18938,2022-04-06
17,1,15102,2022-08-30
17,6,9325,2023-10-29
67,8,9385,2023-12-20
37,3,19842,2023-09-08
30,2,12324,2023-07-22
55,5,9138,2023-07-28
58,6,16605,2023-08-11
86,1,17924,2023-09-22
87,8,5367,2023-09-29
65,8,6937,2022-05-31
33,7,18061,2022-12-12
28,1,11772,2023-12-28
24,4,5646,2023-03-19
97,6,10187,2022-04-23
58,7,10299,2022-08-28
87,3,18291,2022-08-09
28,6,18586,2022-09-10
26,4,18995,2022-03-19
40,2,18907,2022-03-10
94,8,15489,2022-05-12
76,3,16435,2023-09-06
17,1,12899,2023-08-15
81,8,18794,2022-07-15
39,5,19841,2023-07-17
75,3,14907,2022-03-30
78,8,7903,2022-12-17
62,1,9654,2022-04-14
91,2,11725,2022-06-14
97,4,13599,2022-12-22
42,3,19469,2023-01-15
34,5,8103,2022-02-07
81,7,16029,2023-05-19
32,2,15663,2022-01-26
50,1,11019,2023-02-17
60,7,6898,2022-04-06
97,2,11093,2022-07-31
32,6,17534,2022-09-03
31,6,10023,2023-08-18
73,4,17896,2022-01-06
46,2,8718,2023-02-23
87,2,18503,2022-07-31
97,3,6060,2022-02-03
92,1,19357,2022-02-04
35,7,12219,2022-05-30
1,5,16045,2022-03-10
58,8,19848,2022-09-10
92,8,11532,2022-10-12
49,1,11816,2022-08-15
50,7,17024,2023-08-20
5,8,5773,2022-06-11
58,7,17892,2022-10-21
8,8,19143,2023-06-29
1,8,5300,2022-09-28
13,1,5886,2023-04-25
86,4,16136,2023-11-01
89,2,17348,2023-06-13
73,8,9063,2023-08-13
3,6,16152,2022-03-18
71,7,13514,2023-02-23
18,1,8441,2023-02-02
11,5,14395,2023-06-30
65,7,16870,2023-10-27
45,1,8001,2022-02-25
56,6,17879,2023-07-23
100,6,10402,2022-11-18
100,5,6039,2023-10-04
67,2,5165,2022-02-26
26,2,13057,2022-02-16
55,2,12445,2022-05-05
47,8,15027,2023-07-23
77,5,13505,2022-09-01
47,7,16456,2022-09-11
38,1,16644,2023-07-27
39,7,8720,2022-11-30
94,4,15703,2022-02-15
7,3,17496,2023-05-02
5,4,17372,2022-01-12
77,4,7965,2023-07-09
71,4,17547,2022-04-01
41,2,19740,2023-07-07
77,8,15763,2022-10-03
56,5,19044,2022-09-30
50,4,5201,2022-10-16
85,4,18931,2022-12-09
92,4,13759,2022-03-18
74,7,10558,2023-09-21
60,4,5515,2023-04-06
9,2,13524,2023-03-17
76,2,11970,2023-01-11
56,7,17080,2023-05-06
20,2,15734,2022-07-18
27,5,19571,2023-04-18
14,7,15649,2023-10-04
26,2,11343,2023-04-09
99,7,14257,2022-10-26
40,4,5688,2022-08-24
54,2,18313,2022-05-03
28,7,13731,2023-11-21
85,7,10686,2023-03-13
87,4,9746,2022-06-11
40,1,12744,2022-07-04
88,8,19202,2023-08-19
13,1,16742,2023-12-19
19,3,8327,2023-06-30
6,1,11817,2023-03-19
4,7,7148,2022-08-01
85,6,13164,2023-08-20
81,7,11948,2023-01-21
93,8,18786,2022-12-05
94,4,18058,2023-01-11
99,1,7383,2023-11-30
29,5,6504,2023-04-09
61,6,15395,2022-11-21
76,8,7334,2022-02-03
2,6,10849,2023-12-08
95,4,10264,2022-10-11
88,7,18386,2023-06-17
30,1,16894,2022-12-01
80,7,5350,2022-08-05
38,1,10574,2023-10-02
58,6,8941,2023-06-18
27,1,10300,2022-01-08
31,1,8691,2022-01-08
97,5,13354,2023-11-04
53,3,16119,2023-05-01
42,7,7134,2023-09-07
18,7,16835,2022-07-06
18,3,8063,2023-12-16
13,7,9576,2022-10-05
44,6,19641,2023-04-01
52,2,8253,2023-04-05
69,6,15014,2022-05-14
91,5,18896,2023-06-27
68,8,17283,2023-09-12
50,2,13955,2022-07-22
77,1,5387,2023-01-28
50,5,17139,2023-12-11
3,8,5813,2022-01-05
11,2,16238,2022-06-24
64,1,6476,2022-01-23
44,3,11434,2022-03-01
100,2,11704,2023-03-10
82,3,19997,2023-04-21
20,1,14565,2023-04-04
93,6,18297,2022-06-30
43,2,9134,2023-04-01
66,5,12744,2022-05-05
69,7,10966,2023-11-17
33,6,10354,2023-09-03
28,4,13645,2023-02-04
25,3,7815,2023-10-12
93,8,12140,2023-01-24
8,2,14673,2023-01-21
5,5,14339,2022-07-17
35,4,17802,2022-12-22
